"conference_acronym","conference_name","conference_location"
"64","HP3C--Ei Compendex and Scopus 2019","2019 3rd International Conference on High Performance Compilation, Computing and Communications(HP3C 2019)--Ei Compendex, Scopus","Xi'an, China"
"65","WSAI--Ei Compendex and Scopus 2019","2019 World Symposium on Artificial Intelligence (WSAI 2019)--Ei Compendex and Scopus","Xi'an, China"
"66","HCIS Springer (IF:1.967, Q2) CFPs  2018","Call for Papers: Thematic Issue on Security, Trust, and Privacy  for Human-centric Internet of Things (indexed by SCIE)","N/A"
"67","JCRAI 2018","2018 International Joint Conference on Robotics and Artificial Intelligence(JCRAI 2018)","Wellington, New Zealand"
"68","SEAHF 2019","International Conference on Smart Innovation, Ergonomics and Applied Human Factors","Madrid, Spain"
"69","IRI AC19","IRI 2019 Annual Conference - Innovation Unleashed: Physical Meets Digital","Pittsburgh, PA"
"70","ISCSAI 2018","2018 International Symposium on Computer Science and Artificial Intelligence","Hong Kong"
"71","ISBDAI 2018","2018 International Symposium on Big Data and Artificial Intelligence","Hong Kong"
"72","SI-TNNLS-SMLMATA 2018","TNNLS Special Issue on Structured Multi-output Learning: Modelling, Algorithm, Theory and Applications","N/A"
"73","ACM--ICIAI--Ei Compendex and Scopus 2019","ACM--2019 The 3rd International Conference on Innovation in Artificial Intelligence (ICIAI 2019)--Ei Compendex and Scopus","Suzhou, China"
"74","ICSRT--Ei and Scopus 2019","2019 International Conference on Service Robotics Technologies (ICSRT 2019)--Ei Compendex and Scopus","Beijing, China"
"75","EvoApplications 2019","The 22nd International Conference on the Applications of Evolutionary Computation, April 24–26 2019, Leipzig, Germany.","Leipzig, Germany"
"76","IoT and Big Data 2019","IEEE IoTJ Special Issue on Nature-Inspired Approaches for IoT and Big Data","N/A"
"77","AAAI-MAKE 2019","AAAI 2019 Spring Symposium on Combining Machine Learning with Knowledge Engineering","Stanford University, Palo Alto, CA, USA"
"78","PAL 2019","Privacy-Enhancing Artificial Intelligence and Language Technologies","Palo Alto, California"
"79","ICAMD--EI and Scopus 2019","2019 The 2nd International Conference on Automation, Mechanical and Design Engineering (ICAMD 2019)--EI Compendex and Scopus","Chengdu, China"
"80","IMCS 2018","Information Management and Computer Science","N/A"
"81","ICMAA--EI, Scopus 2019","2019 3rd International Conference on Mechanical, Aeronautical and Automotive Engineering (ICMAA 2019)--EI Compendex, Scopus","Chengdu, China"
"82","ICETI 2018","2018 3rd International Conference on Engineering and Technology Innovations","Hong Kong"
"83","IEEE--ICCAR--Ei & SCOPUS 2019","2019 The 5th IEEE International Conference on Control, Automation and Robotics (ICCAR 2019)--Ei Compendex & SCOPUS","Beijing, China"
"84","IMCS 2018","2018 International Conference on Information Management and Computer Science","Hong Kong"
"85","ICBCB--Ei and Scopus 2019","2019 7th International Conference on Bioinformatics and Computational Biology (ICBCB 2019)--Ei Compendex and Scopus","Zhejiang University, Hangzhou, China"
"86","EI/Scopus-PRIS 2019","2019 International Conference on Pattern Recognition and Intelligent Systems (PRIS 2019)","Shanghai,China"
"87","ICIT--ACM, Ei, Scopus 2018","ACM--2018 The 6th International Conference on Information Technology (ICIT 2018)--Ei Compendex, Scopus","Hong Kong"
