"conference_acronym","conference_name","conference_location"
" Sweden
369,ICCIA--Ei Compendex and Scopus 2018,2018 the 3rd IEEE International Conference on Computational Intelligence and Applications (ICCIA 2018)--Ei Compendex and Scopus,Hong Kong
370,BOOM 2018,3rd IJCAI International Workshop on Biomedical infOrmatics with Optimization and Machine learning (BOOM),Stockholm"," Sweden
371,IBERAMIA  2018,16th Ibero-American Conference on Artificial Intelligence,Trujillo"," Peru
372,IBERAMIA  2018,16th Ibero-American Conference on Artificial Intelligence,Trujillo"," Peru
373,ACM-ICCES 2018,4th ACM - International Conference of Computing for Engineering and Sciences,Kuala Lumpur
374,ICA 2018,IEEE International Conference on Agents,Singapore
375,ICCSE 2018,International Conference on Crowd Science and Engineering,Singapore
376,ICAA 2018,International Conference on Ageless Aging ,Singapore
377,AIQA 2018,Artificial Intelligence for Question Answering,Budapest"
" Hungary 
378,UCIENCIA 2018,III International Scientific Conference UCIENCIA 2018,Havana"," Cuba
379,PAAI 2018,Predictive Analytics using Artificial Intelligence (PAAI 2018 Special Session in DeSE 2018),Cambridge"," UK
380,ICDLT--Ei and Scopus 2018,2018 2nd International Conference on Deep Learning Technologies (ICDLT 2018)--Ei Compendex and Scopus,Chongqing"," China
381,HCI  2018,Affective Computing in HCI,Belfast
382,Xenolinguistics 2018,Chapter Proposals for Xenolinguistics: Toward a Science of Extraterrestrial Language,N/A
383,IEEE LA-CCI 2018,IEEE Latin American Conference on Computational Intelligence 2018,Guadalajara"
" Mexico
384,IVA 2018,Intelligent Virtual Agents,Sydney"," Australia
385,ICRAS--EI and Scopus 2018,2018 2nd International Conference on Robotics and Automation Sciences (ICRAS 2018)--EI Compendex and Scopus,Wuhan"," China
386,UCIENCIA 2018,III International Scientific Conference UCIENCIA 2018,Havana
387,BigScholar 2018,The KDD 2018 Workshop on Big Scholarly Data,London"," United Kingdom
388,AI^3 2018,AAMAS-IJCAI workshop on Agents & Incentives in AI (AI^3 2018),Stockholm
389,ALA 2018,Adaptive and Learning Agents Workshop @ Federated AI Meeting 2018,Stockholm
390,DS-RAIT 2018,5th Doctoral Symposium on Recent Advances in Information Technology,Poznan"
" Poland
391,RuleML+RR 2018,International Joint Conference on Rules and Reasoning,Luxembourg
392,RTcMAS 2018,1st International Workshop on Real Time compliant Multi-Agent Systems,Stockholm"," Sweden
393,ACM--ICoMS--EI and SCOPUS 2018,ACM--2018 International Conference on Mathematics and Statistics (ICoMS 2018)--EI Compendex and SCOPUS,Porto"," Portugal
394,KI 2018,The 41st German Conference on Artificial Intelligence,Berlin"," Germany
395,CSCS 2018,2. ACM Computer Science in Cars Symposium (CSCS 2018): Future Challenges in Artificial Intelligence & Security for Autonomous Vehicles,Munich"
" Germany
396,AI*QA 2018,1st International Workshop on Artificial Intelligence for Question Answering,Budapest"," Hungary 
397,KDH 2018,The 3rd International Workshop on Knowledge Discovery in Healthcare Data,Stockholm"," Sweden
398,BDAI- Ei Compendex and Scopus 2018,2018 International Conference on Big Data and Artificial Intelligence (BDAI 2018)-- Ei Compendex and Scopus,Beijing"," China
399,HPCCT--Ei Compendex and Scopus 2018,2018 2nd High Performance Computing and Cluster Technologies Conference (HPCCT 2018)--Ei Compendex and Scopus,Beijing"
" China
400,SOCS 2018,Symposium on Combinatorial Search,Stockholm
","","",""
"1100","CoSIT  2019","6th International Conference on Computer Science and Information Technology (CoSIT 2019)","Dubai, UAE"
"2100","MEIJ 2018","Mechanical Engineering: An International Journal ","N/A"
"3100","IT 2019","8th International Conference on Information Theory ","Vancouver, Canada"
"410","NET 2019"," 3rd International Conference on Networks and Communications","Chennai, India"
"510","ICBDSC--ACM, Ei & Scopus 2019","ACM--2019 2nd International Conference on Big Data and Smart Computing (ICBDSC 2019)--Ei Compendex & Scopus","Bali, Indonesia"
"610","NCOM 2019","5 th International Conference on Networks & Communications","Toronto, Canada "
"710","BIOENG  2018","3rd International Conference on Bioscience & Engineering (BIOENG 2018)","Dubai, UAE"
"810","SIPM 2019","7th International Conference on Signal Image Processing and Multimedia ","Melbourne, Australia"
"910","DKMP 2019","7th International Conference on Data Mining & Knowledge Management Process","Toronto, Canada"
"1010","SCAI 2018","7th International Conference On Soft Computing, Artificial Intelligence And Applications ","Sydney , Australia"
"1110","IJDKP 2018","International Journal of Data Mining & Knowledge Management Process","N/A"
"1210","SIPRO  2019","5th International Conference on Signal and Image Processing ","Toronto, Canada"
"1310","CCSEA 2019","9th International Conference on Computer Science, Engineering and Applications","Toronto, Canada"
"1410","DMDB  2019","6th International Conference on Data Mining and Database ","Vancouver, Canada"
"1510","CoNeCo  2019","11th International Conference on Computer Networks & Communications","Melbourne, Australia"
"1610","DMA 2019","5th International Conference on Data Mining and Applications","Dubai, UAE"
"1710","Meche 2018","6th International Conference On Mechanical Engineering","Dubai, UAE "
"1810","DaKM  2018","3rd International Conference on Data Mining & Knowledge Management","Dubai, UAE"
"1910","NCWMC 2018","3rd International Conference on Networks, Communications, Wireless and Mobile Computing ","Dubai, UAE"
"2010","IJAIT 2018"," International Journal of Advanced Information Technology ","N/A"
"2110","IJPLA 2018","International Journal of Programming Languages and Applications","N/A"
"2210","JoL 2018","International Journal of Law ","N/A"
"2310","IJGCA 2018","International Journal of Grid Computing & Applications","N/A"
"2410","IJMSA 2018","International Journal of Modelling, Simulation and Applications","N/A"
"2510","IJCSIT  2018","International Journal of Computer Science and Information Technology - INSPEC Listed","N/A"
"2610","IJITCA 2018","International Journal of Information Technology, Control and Automation ","N/A"
"2710","IJDMS 2018","International Journal of Database Management Systems","N/A"
"2810","IJMA 2018","International Journal of Multimedia & Its Applications -- ERA Indexed","N/A"
"2910","ICBDM--Ei and Scopus 2019","2019 the 2nd International Conference on Big Data Management (ICBDM 2019)--Ei Compendex and Scopus","Zhuhai, China"
"3010","ICGDA--Ei and Scopus 2019","2019 2nd International Conference on Geoinformatics and Data Analysis (ICGDA 2019)--Ei Compendex and Scopus","Prague, Czech Republic"
"3110","AKBC 2019","1st Conference on Automated Knowledge Base Construction (AKBC)","Amherst, MA"
"3210","ICBCT--EI and Scopus 2019","2019 International Conference on Blockchain Technology (ICBCT 2019)--EI Compendex and Scopus","Honolulu, Hawaii, the United States"
"3310","ICISDM--ACM, Ei and Scopus 2019","ACM--2019 3rd International Conference on Information System and Data Mining (ICISDM 2019)--Ei Compendex and Scopus","University of Houston, Texas, USA"
"3410","ICBDE--Ei Compendex and Scopus 2019","2019 2nd International Conference on Big Data and Education (ICBDE 2019)--Ei Compendex and Scopus","London, UK"
"3510","ICCCBDA--Ei Compendex and Scopus 2019","2019 the 4th International Conference on Cloud Computing and Big Data Analytics (ICCCBDA 2019)--Ei Compendex and Scopus","Chengdu, China"
"3610","ICCDE----Ei Compendex and Scopus 2019","2019 5th International Conference on Computing and Data Engineering (ICCDE 2019)--Ei Compendex and Scopus","Shanghai, China"
"3710","ACM--ICDPA--Scopus, Ei 2019","ACM--2019 The 5th International Conference on Data Processing and Applications (ICDPA 2019)--Scopus, Ei Compendex","Shanghai, China"
"3810","BDAI--Ei Compendex and Scopus 2019","2019 2nd International Conference on Big Data and Artificial Intelligence (BDAI 2019)--Ei Compendex and Scopus","Guangzhou, China"
"3910","DSDE--Ei and Scopus 2019","2019 International Conference on Data Storage and Data Engineering (DSDE 2019)--Ei Compendex and Scopus","Jeju Island, South KoreaJeju Island, Sou"
"401","ER 2019","38th  International Conference on Conceptual Modeling","Salvador, Bahia, Brazil"
"411","Call for Participants 2018","2018 International Conference on Environmental and Water Resources Engineering (EWRE 2018)","Jeju Island, Korea"
"421","Call for Participants 2018","2018 International Conference on Green Energy and Sustainable Development (GESD 2018)","Jeju Island, Korea"
"431","ACM--ICBTA--Ei and Scopus 2018","ACM--2018 International Conference on Blockchain Technology and Applications (ICBTA 2018)--Ei Compendex and Scopus","Xi'an, China"
"441","MEN  2018","3rd International Conference on Mechanical Engineering","Dubai,UAE"
"451","Call for Chapter (IGI Global) 2018","Advanced Data Modeling and Processing With JSON","USA"
"461","BDIOT--Ei and Scopus 2018","2018 2nd International Conference on Big Data and Internet of Things (BDIOT 2018)--Ei Compendex and Scopus","Beijing, China"
"471","CoDS-COMAD 2019","ACM India Joint International Conference on Data Science and Management of Data (CoDS-COMAD) 2019 ","Kolkata, India"
"481","E&C 2018","3rd International Conference on Electrical & Computer Engineering ","Dubai,UAE"
"491","AISO  2018","4th International Conference on Artificial Intelligence and Soft Computing","Dubai,UAE"
"501","EEEN  2018","3rd International Conference on Electrical and Electronics Engineering ","Dubai,UAE"
"511","ACM--BDET--Ei and Scopus 2018","ACM--2018 International Conference on Big Data Engineering and Technology (BDET 2018)--Ei Compendex and Scopus","Chengdu, China"
"521","ArtsIT (Ei, ISI, Scopus) 2018","7th EAI International Conference: ArtsIT, Interactivity & Game Creation -- Springer, Ei Compendex, ISI Web of Science, Scopus","Portugal, Braga"
"531"," SOFT 2018","4th International Conference on Software Engineering","Chennai,India"
"541","ACM--ICCBDC--Ei Compendex and Scopus 2018","2018 2nd International Conference on Cloud and Big Data Computing (ICCBDC 2018)--ACM, Ei   Compendex and Scopus","Barcelona, Spain"
"551","PODS 2019","Symposium on Principles of Database Systems","Amsterdam"
"561","DMAP 2018","4th International Conference on Data Mining and Applications","Dubai, UAE"
"571","BDA 2018","34ème Conférence sur la Gestion de Données – Principes, Technologies et Applications","Bucarest, Romania"
"581","TIME 2018","TIME 2018 first call for papers","Warsaw"
"591","ICDDM--IEEE Xplore, Ei and Scopus 2018","2018 7th International Workshops on Database and Data Mining (ICDDM 2018)--IEEE Xplore, Ei and Scopus","Chongqing, China"
"601","ECML-PKDD 2018","European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases","Dublin, Ireland"
"611","ER 2018","37th International Conference on Conceptual Modeling","Xi’an, Shaanxi province, China"
"621","ADBIS 2018","The 22nd European Conference on Advances in Databases and Information Systems","Budapest, Hungary"
"631","DATA 2018","7th International Conference on Data Science, Technology and Applications","Porto, Portugal"
"641","AMW 2018","Alberto Mendelzon Workshop on Foundations of Data Management 2018","Cali, Colombia"
"651","BDAS 2018","14th (IFIP and IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures during IFIP World Computer Congres (IFIP WCC)","Poznan, Poland"
"661","FoIKS 2018","10th International Symposium on Foundations of Information and Knowledge Systems","Budapest, Hungary"
"671","COMOREA 2018","14th Workshop on Context and Activity Modeling and Recognition","Athens"
"681","EDBT 2018","21st International Conference on Extending Database Technology","Vienna, Austria"
"691","IEEE Big Data 2017","2017 IEEE International Conference on Big Data","Boston, MA, USA"
"701","DILS 2017","12th International Conference on Data Integration in Life Science","Luxembourg"
"711","ICDM 2017","IEEE International Conference on Data Mining 2017","NEW ORLEANS, USA"
"721","SBBD 2017","32nd Brazilian Symposium on Databases","Uberlandia, MG - Brazil"
"731","CIKM 2017","The 26th 2017 ACM Conference on Information and Knowledge Management","SINGAPORE"
"741","WISE 2017","WISE 2017: The 18th International Conference on Web Information Systems Engineering","Moscow, Russia"
"751","FDM 2017","Digital processes and information systems in research data management","Chemnitz"
"761","TIME 2017","24th International Symposium on Temporal Representation and Reasoning","Mons, Belgium"
"771","ADBIS 2017","21st European Conference on Advances in Databases and Information Systems","Nicosia, Cyprus"
"781","ADBIS 2017","21st European Conference on Advances in Databases and Information Systems","Hilton Hotel Cyprus, Nicosia"
"791","IDEAS 2017","21st International Database Engineering & Applications Symposium","Bristol"
"801","DEBS 2017","11th ACM International Conference on Distributed and Event-based Systems","Barcelona, Spain, Europe"
"811","GeoRich 2017","GeoRich@SIGMOD/PODS 2017: Submission Deadline Extended to March 5","TBD"
"821","GeoRich 2017","GeoRich 2017 : GeoRich@SIGMOD/PODS 2017: Submission Deadline Extended to March 5 - CORRECT DATES","TBD"
"831","DATA 2017","6th International Conference on Data Science, Technology and Applications","Madrid, Spain"
"841","WebDB 2017","International Workshop on the Web and Databases","Chicago, IL, USA"
"851","GeoRich @ ACM SIGMOD/PODS 2017","GeoRich 2017 - ACM SIGMOD Workshop on Managing and Mining Enriched Geo-Spatial Data","Raleigh, NC, USA"
"861","Computational Intelligence in RDF 2017","Call for Book Chapters: Computational Intelligence in RDF Data Management (being published by Springer-Verlag)","N/A"
"871","DCIRS -  2017","The Second International Workshop on Database and Computerized Information Retrieval Systems ","Trieste, Italy"
"881","SBD 2017","Semantic Big Data","Raleigh, USA"
"891","ADBIS - Workshops 2017","21st European Conference on Advances in Databases and Information Systems (ADBIS 2017) Workshops","Nicosia, Cyprus"
"901","ACTIVE 2017","First International Workshop on Data Management on Virtualized Active Systems (In Conjunction with the IEEE ICDE 2017)","San Diego, CA"
"911","BDAS 2017","13th (IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures","Ustron near Krakow (Cracow), Poland"
"921","DASFAA 2017","The 22nd International Conference on Database Systems for Advanced Applications","Suzhou"
"931","ICDE 2017","IEEE INTERNATIONAL CONFERENCE ON DATA ENGINEERING 2017 ","San Diego"
"941","BTW 2017","The 17th Conference on Database Systems for Business, Technology, and Web","Stuttgart, Germany"
"951","ISDSA  2016","First International Symposium on Data Science and Applications","Milan, Italy"
"961","SIGMOD 2017","2017 ACM SIGMOD Conference","Raleigh"
"971","CITI 2016","2nd International Conference on Technologies and Innovation","Guayaquil, Ecuador"
"981","BDTA 2016","7th EAI International Conference on Big Data Technologies and Applications","Seoul, South Korea"
"991","RuleML Challenge 2016","10th International Rule Challenge 2016","Stony Brook University, New York, USA"
"1001","QDB 2016","VLDB Workshop on Quality in Databases","New Delhi, India"
"1011","PQ 2016","Process Querying 2016","Rio de Janeiro, Brazil"
"1021","SoCC 2016","ACM Symposium on Cloud Computing (SoCC) 2016","Santa Clara, California, USA"
"1031","SISAP 2016","9th International Conference on Similarity Search and Applications ","Tokyo, Japan"
"1041","APWeb 2016","Asia-Pacific Web Conference","Suzhou"
"1051","CN4IoT 2016","2nd EAI International Conference on Cloud, Networking for IoT systems","Brindisi"
"1061","GvDB 2016","27.GI-Workshop - Grundlagen von Datenbanken","Nörten-Hardenberg, Germany"
"1071","ER 2016","Call for Papers: ER 2016 - The 35th International Conference on Conceptual Modeling","Gifu (Japan)"
"1081","VLDB 2016","42nd international conference on very large data  bases","New Delhi"
"1091","Baltic DB&IS, DC 2016","Doctoral Consortium, 12th International Baltic Conference on Databases and Information Systems 2016","Riga, Latvia"
"1101","BDAS 2016","12th (IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures ","Ustron near Krakow (Cracow), Poland"
"1111","BDQM 2016","The 1st International Workshop on Big Data Quality Management","Dallas, TX"
"1121","TRANSACT 2016","11th ACM SIGPLAN Workshop on Transactional Computing","Barcelona, Spain"
"1131","ICDE 2016","International Conference on Data Engineering","Helsinki, Finland"
"1141","COMAD 2016","Conference on Management of Data, 2016","Pune, India"
"1151","ICDM 2015","ICDM 2015 Student Travel Grants","Atlantic City, NJ, USA"
"1161","SIGMOD 2016","ACM International Conference on Management of Data ","San Francisco, USA"
"1171","ESAIR 2015","8th Workshop on  Exploiting Semantic Annotations for Information Retrieval"," Melbourne, Australia"
"1181","ICDM 2015","International Conference on Data Mining","Atlantic City, NJ, USA"
"1191","OJIOT 2015","Internet of Ubiquitous and Pervasive Things","N/A"
"1201","SISAP  2015","8th International Conference on Similarity Search and Applications","Glasgow, UK"
"1211","DSAA 2015","IEEE International Conference on Data Science and Advanced Analytics (DSAA 2015)","Paris - France"
"1221","GID 2015","ADBIS workshop on GPUs in Databases","Poitiers, France"
"1231","SUM 2015","Ninth International Conference on Scalable Uncertainty Management","Quebec, Canada"
"1241","KAM 2015","21st Conference on Knowledge Acquisition and Management","Lodz, Poland"
"1251","COSIT 2015","12th International Conference on Spatial Information Theory","Santa Fe, New Mexico, USA."
"1261","SSTD 2015","14th International Symposium on Spatial and Temporal Databases","Seoul, South Korea"
"1271","DaWaK 2015","17th International Conference on Big Data Analytics and Knowledge Discovery - DaWaK 2015","Valencia, Spain"
"1281","JWS-SI-KG 2015","Journal of Web Semantics special issue on knowledge graphs","N/A"
"1291","VLDB 2015","41st International Conference on Very Large Data Bases","Kohala Coast, Hawaii, USA"
"1301","ADC 2015","Australasian Database Conference","Melbourne"
"1311","IUPT 2015","The 5th International Symposium on Internet of Ubiquitous and Pervasive Things","London, UK"
"1321","ADBIS -  2015","[ADBIS'2015]: Call for Workshop Proposals","Poitiers"
"1331","DAPHNE 2015","International Workshop on Data (Co-)Processing on Heterogeneous Hardware ","Brussels, Belgium"
"1341","ICICS 2015","The 6th IEEE International Conference on Information and Communication Systems","Amman, Jordan"
"1351","BDAS 2015","11th (IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures ","Ustron near Krakow, Poland"
"1361","DASFAA (Demo Track) 2015","The 20th International Conference on Database Systems for Advanced Applications (Demo Track) ","Hanoi, Vietnam"
"1371","SIGMOD 2015","International Conference on Management of Data","Melbourne, VIC, Australia"
"1381","Big Data in Cloud Computing 2014","Call for Book Chapters: Managing Big Data in Cloud Computing Environments","N/A"
"1391","DBDBD 2014","The Dutch-Belgian Database Day 2014","Antwerp, Belgium"
"1401","SCDM 2014","2nd Scalable Cloud Data Management Workshop","Washington DC"
"1411","COMAD 2014","International Conference on Management of Data (COMAD)","Hyderabad, India"
"1421","BBH 2014","The 2nd International Workshop of BigData in Bioinformatics and Healthcare Informatics","Washington D.C., USA"
"1431","IDAM 2014","The 4th Intelligent Data Analysis and Management","Kaohsiung, Taiwan"
"1441","SDA 2014","4th International Workshop on Semantic Digital Archives (SDA)","London"
"1451","ICCIDM 2014","International Conference on Computational Intelligence in Data Mining, Springer","Odisha, India"
"1461","ICDM 2014","IEEE International Conference on Data Mining","Shenzhen, China"
"1471","ICDM 2014","[2nd Round CFP] ICDM '14: The 14th IEEE International Conference on Data Mining  ","Shenzhen, China"
"1481","ODBASE 2014","The conference on Ontologies, DataBases, and Applications of Semantics for Large Scale Information Systems","Amantea, Italy"
"1491","FDSE 2014","The 1st International Conference on Future Data and Security Engineering 2014","Ho Chi Minh City, Vietnam"
"1501","DAB 2014","3rd International Workshop on Data- and Artifact-Centric BPM","Haifa, Israel"
"1511","BIRTE 2014","Eighth International Workshop on Real-Time Business Intelligence","Hangzhou, China"
"152","BigSys 2014","Workshop on System Software Support for Big Data","Stuttgart, Germany"
"153","SISAP (LNCS and IS Journal) 2014","7th International Conference on Similarity Search and Applications","Los Cabos, Mexico"
"154","GID 2014","ADBIS workshop on GPUs in Databases","Ohrid, Republic of Macedonia"
"155","GID 2014","ADBIS Workshop on GPUs In Databases","Ohrid, Republic of Macedonia"
"156","EnviroInfo 2014","28th International Conference on Informatics for Environmental Protection","Oldenburg, Lower Saxony, Germany"
"157","SBBD 2014","Brazilian Symposium on Databases - JIDM articles","Curitiba, Brazil"
"158","APWeb 2014","Call for Demo: The 16th Asia-Pacific Web Conference","Changsha, China"
"159","JISBD 2014","Jornadas de Ingeniería del Software y Bases de Datos","Cadiz (Spain)"
"160","PBDA 2014","Performance of Business Database Applications","Warsaw, Poland"
"161","DanaC 2014","Workshop on Data Analytics in the Cloud","Songbird, Utah, U.S.A"
"162","RDSS 2014","Workshop on Reliable Data Services and Systems","Snowbird, Utah, USA"
"163","GRADES 2014","GRAph Data-management Experiences and Systems","Snowbird (Utah), USA"
"164","ATGRC 2014","The International Workshop on Advanced Technologies for Governance, Risk and Compliance","Munich, Germany"
"165","WebDB 2014","International Workshop on the Web and Databases","Snowbird, Utah, USA"
"166","NoSQL-Net 2014","1st International Workshop on NoSQL Databases and Linked Data Applications","Munich, Germany"
"167","DaMoN 2014","Tenth International Workshop on Data Management on New Hardware","Snowbird, Utah, USA"
"168","HardBD 2014","The Second International Workshop on Big Data Management on Emerging Hardware","Macau, China"
"169","SEBD 2014","The 22nd Italian Symposium on Advanced Database Systems","Sorrento Coast, Italy"
"170","BUDA 2014","Workshop on Big Uncertain Data","Snowbird, Utah, USA"
"171","DSMM 2014","Workshop on Data Science for Macro-Modeling","Snowbird, Utah, USA"
"172","SWEET 2014","3rd International Workshop on Scalable Workflow Enactment Engines and Technologies","Snowbird, Utah, USA"
"173","DATA 2014","Int'l Conf. on Data Management Technologies and Applications","Vienna, Austria"
"174","DaWaK 2014","16th International Conference on Data Warehousing and Knowledge Discovery","Munich, Germany"
"175","AECM 2014","Workshop on Applied Enterprise Content Management","Munich, Germany"
"176","Cloud-I@IS 2013","Information Sciences special issue on Cloud Intelligence","N/A"
"177","VLDB 2014","40th International Conference on Very Large Data Bases","Hangzhou, China"
"178","DC @ Baltic DB&IS  2014","Call for PhD Consortium - 11th  International  Baltic  Conference  on  DB  and  IS,  DB&IS2014 / June  9,  2014,  Tallinn,  ESTONIA","Tallinn, Estonia"
"179","Baltic DB&IS 2014","The 11th International Baltic Conference on Databases and Iinformation Systems, DB&IS2014","Tallinn, ESTONIA"
"180","IUPT 2014","The 4th International Symposium on Internet of Ubiquitous and Pervasive Things","Hasselt, Belgium"
"181","DILS 2014","10th International Conference on Data Integration in the Life Sciences","Lisbon, Portugal"
"182","SYRCoDIS 2014","The 10th Spring Researchers Colloquium on Databases and Information Systems","Veliky Novgorod, Russia"
"183","ADC 2014","The 25th Australasian Database Conference","Brisbane, Australia"
"184","MDM 2014","15th IEEE International Conference on Mobile Data Management","Brisbane, Australia"
"185","Graph-TA 2014","Workshop on Graph-based Technologies and Applications","Barcelona"
"186","iCICS 2014","The 5th IEEE International Conference on Information and Communication Systems","Irbid, Jordan"
"187","DEOS 2014","4th Workshop on Data Extraction and Object Search","Seoul, South Korea"
"188","BDAS 2014","10th IEEE International Conference Beyond Databases, Architectures and Structures ","Ustron, Poland"
"189","DNIS 2014","9th International Workshop on Databases in Networked Information Systems","University of Aizu, Aizu-Wakamatsu, Japan"
"190","DMC 2014","International Workshop on Data Management in the Cloud","Chicago, IL, United States of America"
"191","EnDM 2014","3rd International Workshop on Energy Data Management","Athens, Greece"
"192","LWDM 2014","4th International Workshop on Linked Web Data Management","Athens, Greece"
"193","PODS 2014","33rd ACM SIGMOD-SIGACT-SIGART Symposium on Principles Of Database Systems","Snowbird, Utah, USA"
"194","GraphQ 2014","The Third International Workshop on Querying Graph Structured Data","Athens, Greece"
"195","NTMS 2014","Sixth IFIP International Conference on New Technologies, Mobility and Security","Dubai, UAE"
"196","SMDB 2014","9th International Workshop on Self-Managing Database Systems","Chicago IL, USA"
"197","CloudDB 2014","The 6th International workshop on Cloud Data Management","Chicago, IL USA"
"198","PAKDD (Tutorial)  2014","PAKDD 2014: CALL FOR TUTORIAL PROPOSALS","Tainan, Taiwan"
"199","ExData CiSE 2014","Special Issue on Extreme Data, Computing inScience & Engineering","N/A"
"200","GDM 2014","The 3rd International Workshop on Graph Data Management: Techniques and Applications","Chicago, IL, USA"
"201","EDBT/ICDT Tutorials 2014","EDBT/ICDT 2014 Call for Tutorials","Athens, Greece"
"202","DMS 2013","Fifth International conference on Database Management Systems","Zurich, Switzerland"
"203","EDBT 2014","International Conference on Extending Database Technology","Athens, Greece"
"204","DBDBD 2013","The Dutch-Belgian Database Day","Rotterdam, Netherlands"
"205","SITIS 2013","Special Session on CLOUD and VIRTUALIZED ENVIRONMENT Meet BIG DATA","Kyoto Terrsa, Japan"
"206","FoIKS 2014","Eighth International Symposium on  Foundations of Information and Knowledge Systems","Bordeaux, France"
"207","ICECIT 2013","International Conference  on  Emerging Computation & Information Technologies","Tumkur"
"208","DaEng 2013","The First International Conference on Advanced Data and Information Engineering - LNEE Springer","Kuala Lumpur, Malaysia"
"209","APCCM 2014","Tenth Asia-Pacific Conference on Conceptual Modelling","Auckland"
"210","APCCM 2013","The Ninth Asia-Pacific Conference on Conceptual Modelling","Adelaide, South Australia, Australia"
"211","COMAD 2013","19th International Conference on Management of Data","Ahmedabad, India"
"212","ICIA 2013","The Second International Conference on Informatics and Applications","Lodz, Poland"
"213","TIDM 2013","The First International Workshop on TeraScale In-Core Data Mining","Dallas, Texas"
"214","BiDaDA 2013","1st Workshop on Biological Data mining and Database Applications","Dallas, Texas, USA"
"215","SIN 2013","The 6th International Conference on Security of Information and Networks (SIN 2013)","Aksaray, Turkey"
"216","EDBT/ICDT Workshops 2014","EDBT/ICDT 2014 Call for Workshop Proposals","Athens, Greece"
"217","ICDE 2014","IEEE International Conference on Data Engineering ","Chicago, USA"
"218","SoCC 2013","ACM Symposium on Cloud Computing","San Jose, CA"
"219","BDSAV 2013","The 1st International Workshop on Big Data Storage, Analytics, and Visualization","Washington D.C., United States"
"220","CloudDB 2013","The Fifth International workshop on Cloud Data Management","San Franciso"
"221","RWVW 2013","International Workshop on Predicting Real World Behaviors from Virtual World Data","Boston, MA, USA"
"222","DOLAP 2013","16th International Workshop on Data Warehousing and OLAP","Burlingame, CA, USA"
"223","NoCoDA 2013","2nd Intl Workshop on Non-Conventional Data-Access","San Francisco, CA, USA"
"224","DiPP 2013","International Conference on Digital Presentation and Preservation of Cultural and Scientific Heritage","Veliko Tarnovo, Bulgaria"
"225","Cloud-I 2013","2nd International Workshop on Cloud Intelligence","Riva del Garda, Trento, Italy"
"226","DBPL 2013","14th International Symposium on Database Programming Languages","Trento, Italy"
"227","PersDB 2013","The 7th International Workshop on Personalized Access, Profile Management, and Context Awareness in Databases","Riva del Garda, Trento, Italy"
"228","DBCrowd 2013","First VLDB Workshop on Databases and Crowdsourcing","Riva del Garda, Italy"
"229","QDB 2013","11th International Workshop on Quality in DataBases","Trento, Italy"
"230","BIRTE 2013","Seventh International Workshop on Real-Time Business Intelligence","Trento, Italy"
"231","IDEAS 2013","17th International Database Engineering & Applications Symposium","Barcelona"
"232","DAB 2013","2nd International Workshop on Data and Artifact-Centric BPM","Beijing, China"
"233","DIM 2013","The Second IEEE International Workshop on Data Integration and Mining ","San Francisco, USA"
"234","ISWC-InUse 2013","The 12th International Semantic Web Conference - In Use Track","Sydney, Australia"
"235","ODBASE 2013","The 12th International Conference on Ontologies, DataBases, and Applications of Semantics","Graz, Austria"
"236","CLEI 2013","XXXIX Conferencia Latinoamericana en Informática","Naiguatá, VENEZUELA"
"237","CLEI 2013","XXXIX Latin-American Conference on Computer Sciences ","Naiguatá, VENEZUELA"
"238","CLTM 2013","LATIN-AMERICAN MASTER THESIS CONTEST","Naiguatá, VENEZUELA"
"239","CIESC 2013","XXI Iberoamerican Congress on Higher Education in Computing","Naiguatá, VENEZUELA"
"240","BiDaTA 2013","Adbis Special session on Big Data: New Trends and Applications","Genoa, Italy"
"241","CSE 2013","The International Workshop on Cloud and Service Engineering","Aalborg, Denmark"
"242","ICDIM 2013","Eighth International Conference on Digital Information Management","Islamabad"
"243","RSmeetDB 2013","3rd Workshop on Recommender Systems meet Databases","Prague, Czech Republic"
"244","MEDI 2013","Third International Conference On Model and Data Engineering","Amantea, Calabria, Italy"
"245","SoEA4EE 2013","The Fifth Workshop on Service oriented Enterprise Architecture for Enterprise Engineering","Vancouver, Canada"
"246","SEBD  2013"," 21th Italian Symposium on Advanced Database Systems","Roccella Jonica (RC) - ITALY"
"247","IMDM 2013","First Workshop on In-Memory Data Management - Applications and Architectures","Koblenz, Germany"
"248","GRADES 2013","Graph Data-management Experiences and Systems","New York, NY, USA"
"249","SI-MCS 2013","CFP: Mathematics in Computer Science, Special Issue on Mathematics, Data and Knowledge","Mathematics in Computer Science"
"250","CPS 2013","Special Session on Cooperative Problem Solving","Craiova, Romania"
"251","MobiDE 2013","12th International ACM Workshop on Data Engineering for Wireless and Mobile Access","New York, USA"
"252","DEXA 2013","24th International Conference on Database and Expert Systems Applications","Prague, Czech Republik"
"253","DaWaK 2013","15th International Conference on Data Warehousing and Knowledge Discovery","Prague, Czech Republic"
"254","DBSocial 2013","ACM SIGMOD Workshop on Databases and Social Networks (DBSocial) 2013","New York, NY, USA"
